date,n_eligible_assets,avg_entropy_factor,avg_volatility
2011-01-31,47,0.07889113352651697,0.3642694909919816
2011-02-28,48,0.07976555575020615,0.35866800654433506
2011-03-31,48,0.07894729267562664,0.35464724986735624
2011-04-29,48,0.07812856732199512,0.3528535895947768
2011-05-31,48,0.07681592037271584,0.3478490570302997
2011-06-30,48,0.07468439325690128,0.3385113150041928
2011-07-29,48,0.07539558785231214,0.339226784465353
2011-08-31,48,0.08461004476111124,0.3734776430831814
2011-09-30,48,0.09107117462056102,0.37228111342962106
2011-10-31,48,0.09305572756789766,0.3864374995758531
2011-11-30,48,0.0964913360733905,0.39449221748875285
2011-12-29,48,0.09836298037696208,0.395314705647068
2012-01-31,44,0.09466324557177713,0.3740432596238255
2012-02-29,62,0.08651160648900928,0.34460348081652264
2012-03-30,62,0.08813404572662174,0.3485671834981335
2012-04-30,62,0.08292507158848904,0.35093819469044835
2012-05-31,62,0.08535481314419306,0.3585754964055262
2012-06-29,62,0.08490188679892458,0.3684461960909569
2012-07-31,62,0.08514685858990251,0.3752869450624876
2012-08-31,62,0.08605361118975235,0.36183352357111354
2012-09-28,62,0.08736768452457462,0.35949692344474493
2012-10-31,62,0.08716448954858627,0.3529912896929531
2012-11-30,62,0.08868152585900155,0.3553084483569672
2012-12-28,62,0.08841269136897663,0.35168163826283716
2013-01-31,60,0.08583148553167572,0.35031921642955943
2013-02-28,60,0.0833296736472433,0.34986353693878225
2013-03-28,68,0.07933061610021086,0.3375399763179776
2013-04-30,69,0.07736925921565989,0.3373131627621843
2013-05-31,69,0.07574623884231,0.3344635455317042
2013-06-28,69,0.08011084755231457,0.33941167032434555
2013-07-31,69,0.08077855656786107,0.3404981381834404
2013-08-30,69,0.08142088881399694,0.33659887528471577
2013-09-30,69,0.08158006277166872,0.33113582665835106
2013-10-31,69,0.08094576673875978,0.3285271083745862
2013-11-29,69,0.0816486222413347,0.32609005588927387
2013-12-30,69,0.08020270491473289,0.3218613732151504
2014-01-31,64,0.0770754308744784,0.3123788475150938
2014-02-28,64,0.077851541446934,0.31980771462270957
2014-03-31,68,0.07665997634280644,0.3315772080535546
2014-04-30,68,0.0771060426884665,0.33132241789620087
2014-05-30,68,0.07628308301925842,0.3279001611947407
2014-06-30,68,0.07645949774418592,0.3209933945522057
2014-07-31,68,0.07598487360656313,0.3135320251241874
2014-08-29,68,0.0762607542260384,0.3091773943642035
2014-09-30,68,0.0788079072047559,0.3133587909921815
2014-10-31,68,0.08575227812147888,0.34297105391440497
2014-11-28,68,0.08745731623133411,0.35294242453119207
2014-12-30,68,0.09122935077621609,0.3679099004242393
2015-01-30,55,0.09391847848349401,0.3671593433965846
2015-02-27,55,0.09828050140795301,0.3731558281606449
2015-03-31,56,0.10041415233125683,0.37501637779643726
2015-04-30,56,0.1030830996369448,0.3784776666308335
2015-05-29,56,0.1057316529105302,0.38982437132401015
2015-06-30,56,0.10164609127341082,0.39114575844930766
2015-07-31,56,0.09810156209572608,0.3979728267563289
2015-08-31,56,0.09901044353018273,0.4119767667046817
2015-09-30,56,0.0994708617158577,0.42340775793039204
2015-10-30,56,0.10054415222624666,0.42206912455367906
2015-11-30,56,0.10204301490656191,0.42376663885922533
2015-12-30,56,0.1042335934123143,0.4241423213859848
2016-01-29,56,0.10867060772393493,0.4305094488198115
2016-02-29,54,0.11387332815009328,0.4374555590017547
2016-03-31,61,0.1221368880633416,0.47293068510675856
2016-04-29,61,0.12424736919716672,0.484307949555272
2016-05-31,61,0.1196338418233799,0.47740462891590035
2016-06-30,61,0.12103147120978065,0.49402595387980497
2016-07-29,61,0.12045934886714194,0.49861799335227663
2016-08-31,61,0.1161012529764432,0.4920877502389016
2016-09-30,61,0.11283072177296648,0.4843843579208449
2016-10-31,61,0.10646838507433079,0.47415403329982325
2016-11-30,61,0.10265681239450145,0.47720494372285804
2016-12-29,61,0.09838545426620732,0.46744380295281823
2017-01-31,61,0.0962818710355285,0.4558208968979456
2017-02-24,59,0.092036876867451,0.4281532034591698
2017-03-31,71,0.08798096988354594,0.3940303681293152
2017-04-28,72,0.08583773761247135,0.37535776302230783
2017-05-31,74,0.0893179329236668,0.39540028450827264
2017-06-30,74,0.0879125596452907,0.3806892592125627
2017-07-31,74,0.08293768183798585,0.3696718831044042
2017-08-31,75,0.07838916379691227,0.3630011345891536
2017-09-29,76,0.07671448804186656,0.35303517635095194
2017-10-31,76,0.07665652150909508,0.35326551378967946
2017-11-30,77,0.07518097131100114,0.3383604916666884
2017-12-29,77,0.0735753556918723,0.3341017795960763
2018-01-31,77,0.06972078167656148,0.33268632269556314
2018-02-28,75,0.07139328814909784,0.32954788425343623
2018-03-29,75,0.07232403604096077,0.3298066688679936
2018-04-30,78,0.0726694358429751,0.32230939280410315
2018-05-30,78,0.07883991533996913,0.32326114481591417
2018-06-29,78,0.08321947778151999,0.3354619071531334
2018-07-31,78,0.08401835842418029,0.3423413254847822
2018-08-31,78,0.08687335268273855,0.34568484094137514
2018-09-28,78,0.08890416590306735,0.34822267656312295
2018-10-31,78,0.09351475169223986,0.3681412240304306
2018-11-30,78,0.09566329064708992,0.37082897458608854
2018-12-28,78,0.09543165754421869,0.36946892283419114
2019-01-31,78,0.09428941893325729,0.3789193831672798
2019-02-28,85,0.09024031012781403,0.3805030092714543
2019-03-29,85,0.08985236159986451,0.38318930815562485
2019-04-30,99,0.08702649196277092,0.3755399864769442
2019-05-31,99,0.08725117025696207,0.3732325999900843
2019-06-28,99,0.08325716409007469,0.3611286310845641
2019-07-31,99,0.08110694645049264,0.35908541460033444
2019-08-30,99,0.08424090865393492,0.3676699343218946
2019-09-30,99,0.08250868700041439,0.3650055612377256
2019-10-31,100,0.08019833981936374,0.3465794621254548
2019-11-29,100,0.08034260692894611,0.34185145435271347
2019-12-30,100,0.07846433799376266,0.3397347823997874
2020-01-31,100,0.07838275422446765,0.3366606047993099
2020-02-28,107,0.08436111491875267,0.35162974081953713
2020-03-31,107,0.12714015467008205,0.5907885478180366
2020-04-30,107,0.14045900144123366,0.6211477682725596
2020-05-29,114,0.1524254180029331,0.6467856593491313
2020-06-30,114,0.15896425769067454,0.6530123928855514
2020-07-31,114,0.15961466264529478,0.649002874769117
2020-08-31,114,0.1618413370920609,0.6434911860207959
2020-09-30,114,0.1624161902507727,0.6442326167267672
2020-10-30,114,0.16240192228322284,0.646238249068906
2020-11-30,114,0.13500516753525962,0.6515945016745274
2020-12-30,114,0.11864874212947962,0.652163231648728
2021-01-29,114,0.10862196478564669,0.6541242113455193
2021-02-26,121,0.10274001495078727,0.6427276532494216
2021-03-31,121,0.10626038697131687,0.5390997530465527
2021-04-30,121,0.10411248113849891,0.486719278171649
2021-05-31,124,0.10442998605997031,0.457554467849239
2021-06-30,124,0.1035646883979769,0.447077106931606
2021-07-30,124,0.09835403369405468,0.4365405310153399
2021-08-31,124,0.09876006070728593,0.4345142565528164
2021-09-30,124,0.10009144277099115,0.4384335987223144
2021-10-29,124,0.10298223263335472,0.4458522443209387
2021-11-30,124,0.10184440977536191,0.4435851064116762
2021-12-30,124,0.10291732736293807,0.44397309791456413
2022-01-31,124,0.1039835568055757,0.4457918764603477
2022-02-25,104,0.09803349711068511,0.40518572306381845
2022-03-31,104,0.10384759885421048,0.4072252810245882
2022-04-29,104,0.10406937500535593,0.4074332938544767
2022-05-31,104,0.10492854481097419,0.4120907072859851
2022-06-30,104,0.10406581244887156,0.41701032986964953
2022-07-29,104,0.100809626792578,0.41647308923203974
2022-08-31,104,0.10126622764477079,0.42314450343054244
2022-09-30,104,0.10128997822971958,0.4224849597361231
2022-10-31,104,0.10466026030411621,0.42650096128708714
2022-11-30,104,0.10556645355457626,0.4336064980013487
2022-12-29,104,0.10839802839868727,0.4375725451600224
2023-01-31,104,0.10883500517727862,0.4456012039865075
2023-02-28,102,0.10782038611937961,0.441691996073074
2023-03-31,102,0.10986419419109585,0.443597136568479
2023-04-28,102,0.10859892587568973,0.446425007643648
2023-05-31,106,0.1080292810736074,0.4401341452513523
2023-06-30,106,0.10624399678080447,0.43947430690822603
2023-07-31,106,0.0994839812679887,0.4335616384315063
2023-08-31,106,0.09567319027448408,0.42610653274817284
2023-09-29,106,0.09117992685000008,0.4205636827834212
2023-10-31,106,0.09014923316247779,0.4129282875773455
2023-11-30,106,0.08873462715268851,0.3997607605818185
2023-12-28,106,0.08564253185144902,0.39041513525330573
2024-01-31,106,0.0830823121156805,0.374855445007969
2024-02-29,106,0.08212944337260536,0.3704887433545077
2024-03-28,96,0.0816658613435211,0.3526167638670776
2024-04-30,96,0.08206539564951894,0.346636892463932
2024-05-31,96,0.08153062334766382,0.33780939664420434
2024-06-28,96,0.08067541654146848,0.3326983890162618
2024-07-31,96,0.07725783876952137,0.3324017789711314
2024-08-30,96,0.07867754247159908,0.33759295497495395
2024-09-17,96,0.07796867638863368,0.3364897141305947
